Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
0b5b572a-bc52-7448-61cf-3b639e194b6f,1989-09-21,,999-49-1746,S99930070,X79585760X,Mr.,Murray856,Johnson679,,,M,black,nonhispanic,M,North Scituate  Massachusetts  US,181 Nader Mews,Boston,Massachusetts,Suffolk County,02152,42.33532136283568,-70.99243277807624,819585.71,0.00,69425
9918e0fd-e91d-8f91-a6c3-db96683894f6,1988-01-20,,999-20-9820,S99950150,X11982357X,Mr.,Agustin437,Nikolaus26,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,955 Vandervort Extension Unit 9,Malden,Massachusetts,Middlesex County,02148,42.432621292055714,-71.12412071469063,854372.01,4626.61,97670
902f29a4-9a06-12b8-3509-f2a3a6004e0b,2018-08-27,,999-63-3260,,,,Osvaldo336,Hansen121,,,,white,nonhispanic,M,Bedford  Massachusetts  US,1008 Shanahan Pathway Apt 72,Lowell,Massachusetts,Middlesex County,01850,42.65264931998309,-71.30211119743483,114328.14,240.60,136104
1ad523ab-7baf-2d8c-f550-ff89acb6f97b,1964-08-09,,999-11-1958,S99969961,X87139105X,Mrs.,Ming325,Hahn503,MD,Maggio310,M,white,nonhispanic,F,Lowell  Massachusetts  US,476 Wyman View,Gloucester,Massachusetts,Essex County,,42.604527112546364,-70.64574394088515,1724436.72,152459.15,60849
96679215-e8f0-b875-3f70-5a23bfbeca4c,1989-02-13,,999-32-8306,S99911202,X84086838X,Mrs.,Yuki258,Kling921,,Runolfsdottir785,M,white,nonhispanic,F,South Hadley  Massachusetts  US,856 Powlowski Walk Apt 86,New Bedford,Massachusetts,Bristol County,,41.54344484386488,-71.01366559675463,148220.77,769788.42,11456
b363cdac-d933-4d59-b30f-30aeed79d14a,2008-05-15,,999-53-3439,,,,Alberto639,Bustos920,,,,white,hispanic,M,Bogota  Bogota  CO,378 Gulgowski Grove Unit 47,Westfield,Massachusetts,Hampden County,,42.17057042049757,-72.73032886972176,353628.18,165.60,32240
87570028-c673-67d5-731d-18653b7d96c6,1975-02-15,,999-30-3227,S99976540,X64718388X,Mr.,Mac103,Bogan287,,,S,white,nonhispanic,M,Clinton  Massachusetts  US,221 Hyatt Manor,Lawrence,Massachusetts,Essex County,,42.70540139333282,-71.20675931523863,1108534.98,6762.24,31173
8bf00cb3-aa85-84c8-95f2-1d0d96c65ce4,2003-12-21,,999-28-4970,S99985651,,Ms.,Charlie254,Prosacco716,,,,white,nonhispanic,F,Boston  Massachusetts  US,854 Anderson Lock Suite 91,Boston,Massachusetts,Suffolk County,02134,42.277231092233436,-71.07761572416308,497875.14,11.08,38357
c9b9e110-3252-b2a6-1652-be92c627ed4f,2017-10-07,,999-59-8498,,,,Danita413,Jacobs452,,,,white,nonhispanic,F,Yarmouth Port  Massachusetts  US,138 Russel Fork,Bridgewater,Massachusetts,Plymouth County,02324,41.93049183569014,-71.00333748758824,119664.04,107.63,32170
aa1a0fb5-cfc6-5fee-be75-4a95e660cfd1,2013-11-21,,999-24-5063,,,,Maynard46,Nader710,,,,white,nonhispanic,M,Medford  Massachusetts  US,754 Beier Port,Andover,Massachusetts,Essex County,,42.68447842808698,-71.19333911367221,240937.61,27.26,169188
532f498b-147b-3146-7d16-ef8e0edb1b2f,1985-12-16,,999-20-1974,S99987394,X36114320X,Ms.,Loris321,Walsh511,,,S,white,hispanic,F,Gardner  Massachusetts  US,1085 Fritsch Mews Unit 44,Worcester,Massachusetts,Worcester County,01609,42.26597135120418,-71.8388604890159,1215802.87,265200.71,75877
